lugares	lat	lon
Aeropuerto Luis Munoz Marin	18.439167	-66.001667
Alturas de Villa Fontana	18.3893199	-65.994586
Buena Vista	18.115518	-65.7982173
Cacao Centro	18.4502228	-66.9560118
Castellana Gardens	40.4560525	-3.6742742
Ciudad Deportiva Roberto Clemente	18.4186101	-66.0039777
Club Yaucano	18.3926434	-65.9827381
Costa Marina	18.4266185	-66.0715726
Eduardo Saldana	18.4224466	-65.984332
El Comandante	18.4013365	-65.9918321
Estancias de San Fernando	18.3968923	-65.9712763
Ext. de Country Club	18.413836	-65.9973877
Golden Valley	18.281019	-66.0225689
Jardines de Borinquen	18.034964	-66.8535093
Jardines de Carolina	18.378282	-65.9746095
Jardines de Country Club	18.4213356	-65.9734986
La Marina	18.471334	-66.7037859
Laguna Gardens	18.4293909	-66.0154432
Las Cubas	25.5717421	-103.4281729
Las Gaviotas	20.5411929	-97.4669783
Los Angeles	18.4291131	-66.0073877
Los Sosa	18.0213514	-67.1574011
Mansiones de Vistamar Marina	18.4350963	-65.9755435
Monserrate Tower	18.3817298	-65.7201398
Monterey Estate	36.6002378	-121.8946761
Parque de Isla Verde	18.454488	-66.059736
Plaza Carolina	18.4247143	-65.9813419
PR-857, Santa Cruz	18.3438605	-65.9224959
PR-859, Santa Cruz	18.3550267	-65.9377463
Residencial El Coral	18.3644621	-66.0455018
Residencial El Faro	21.1211328	-101.6973727
Residencial La Esmeralda	18.4057367	-65.9636119
Residencial Lagos de Blasina	18.3905037	-65.9621096
Residencial Los Naranjales	18.3905037	-65.9546095
Rosa Maria	18.3849484	-65.9523872
Sabana Abajo	18.416389	-65.983611
Sabana Gardens	18.4143915	-65.9723875
Sector La Aldea	18.3385623	-66.3171135
Sector Las Lajas	18.3422759	-66.8945621
Sector Los Nieves	18.4053124	-67.0781792
Sector Los Rivera	18.2180257	-67.0844981
Sector Los Sosas	18.3227007	-65.9201002
Severo Quinones	18.438092	-66.0581957
Cond. Torre de Carolina	18.4423724	-66.0215241
Valle Arriba Heights	18.409114	-65.9737764
